altitude,angular_velocity.x,angular_velocity.y,angular_velocity.z,current,latitude,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,longitude,sequence,timestamp,topic,twist.linear.x,twist.linear.y,twist.linear.z,voltage
,6.17884797975421e-05,-1.990715645661112e-05,7.6095461736258585e-06,,,-0.0017825673567131162,-0.001012553577311337,-9.81798267364502,,0,2025-06-25T01:38:24.297Z,/ap/imu/experimental/data,,,,
,9.160594345303252e-05,1.3468245924741495e-05,3.051865132874809e-05,,,-0.0013912046561017632,-0.0004387084045447409,-9.818475723266602,,0,2025-06-25T01:38:24.304Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.311Z,/ap/twist/filtered,0.0,0.0,0.0,
,9.877042612060905e-05,2.5596076739020646e-05,5.290990884532221e-05,,,-0.0014080603141337633,-0.0002220361348008737,-9.818827629089355,,0,2025-06-25T01:38:24.311Z,/ap/imu/experimental/data,,,,
,8.95467892405577e-05,3.8627513276878744e-05,7.569408626295626e-05,,,-0.0010613718768581748,-0.000505511648952961,-9.818660736083984,,0,2025-06-25T01:38:24.316Z,/ap/imu/experimental/data,,,,
,-2.9877521683374653e-06,2.8286314773140475e-05,6.610596756218001e-05,,,-0.0003696703934110701,-0.0014101677807047963,-9.8179931640625,,0,2025-06-25T01:38:24.321Z,/ap/imu/experimental/data,,,,
,-2.6778099709190428e-05,1.1515982805576641e-05,6.471376400440931e-05,,,0.00012234598398208618,-0.0010829756502062082,-9.81732177734375,,0,2025-06-25T01:38:24.333Z,/ap/imu/experimental/data,,,,
,4.964326581102796e-05,1.155588734036428e-06,6.891306838952005e-05,,,-0.001113134901970625,-0.0008750647539272904,-9.816971778869629,,0,2025-06-25T01:38:24.338Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.344Z,/ap/twist/filtered,0.0,0.0,0.0,
,4.089861613465473e-05,-1.30754515339504e-05,8.320601773448288e-05,,,-0.001146617578342557,-0.0008608503267168999,-9.817070007324219,,0,2025-06-25T01:38:24.344Z,/ap/imu/experimental/data,,,,
,-2.540986315580085e-05,9.74122576735681e-06,8.032540063140914e-05,,,-0.0010907205287367105,-0.0009275323245674372,-9.817063331604004,,0,2025-06-25T01:38:24.351Z,/ap/imu/experimental/data,,,,
,-3.337617818033323e-05,3.285190541646443e-05,3.8166341255418956e-05,,,-0.0006122839986346662,-0.001590787898749113,-9.816967964172363,,0,2025-06-25T01:38:24.357Z,/ap/imu/experimental/data,,,,
,-1.9993382011307403e-05,7.924323290353641e-05,-9.759829481481574e-06,,,-0.00015069344954099506,-0.0018979156157001853,-9.81761360168457,,0,2025-06-25T01:38:24.368Z,/ap/imu/experimental/data,,,,
,4.1407201933907345e-05,3.150704287691042e-05,-1.5238769265124574e-05,,,-0.0004724878235720098,-0.0017078594537451863,-9.818451881408691,,0,2025-06-25T01:38:24.373Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.380Z,/ap/twist/filtered,0.0,0.0,0.0,
,7.154667400754988e-05,2.1037549231550656e-06,-3.816912339971168e-06,,,-0.0011286488734185696,-0.0011780423810705543,-9.818842887878418,,0,2025-06-25T01:38:24.380Z,/ap/imu/experimental/data,,,,
,9.43035411182791e-05,4.426903160492657e-06,-6.807686077081598e-06,,,-0.0014039906673133373,-0.0010624296264722943,-9.818735122680664,,0,2025-06-25T01:38:24.385Z,/ap/imu/experimental/data,,,,
,0.00011359902418917045,6.813796062488109e-05,1.1322205864416901e-05,,,-0.001780055114068091,-0.0005962279974482954,-9.818517684936523,,0,2025-06-25T01:38:24.392Z,/ap/imu/experimental/data,,,,
,9.77886957116425e-05,9.25771746551618e-05,7.398036814265652e-07,,,-0.00037426414201036096,-0.0009883083403110504,-9.818288803100586,,0,2025-06-25T01:38:24.402Z,/ap/imu/experimental/data,,,,
,2.7683330699801445e-05,8.334285666933283e-05,2.674387906154152e-05,,,-0.000748616352211684,-0.0013870259281247854,-9.817973136901855,,0,2025-06-25T01:38:24.409Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.415Z,/ap/twist/filtered,0.0,0.0,0.0,
,2.8627944629988633e-05,7.788430229993537e-05,5.4814481700304896e-05,,,-0.0006553948041982949,-0.0017146593891084194,-9.817516326904297,,0,2025-06-25T01:38:24.415Z,/ap/imu/experimental/data,,,,
,3.0597489967476577e-05,6.258385838009417e-05,5.669450183631852e-05,,,-0.0007533435127697885,-0.0020401941146701574,-9.81745719909668,,0,2025-06-25T01:38:24.421Z,/ap/imu/experimental/data,,,,
,4.05996797780972e-05,5.552628863370046e-05,8.28252814244479e-06,,,-0.0009616257739253342,-0.0022732121869921684,-9.818058013916016,,0,2025-06-25T01:38:24.426Z,/ap/imu/experimental/data,,,,
,2.6903448087978177e-05,3.8968020817264915e-05,-2.24359318963252e-05,,,-0.0008149698842316866,-0.0021354632917791605,-9.818228721618652,,0,2025-06-25T01:38:24.440Z,/ap/imu/experimental/data,,,,
,3.14285462081898e-05,-2.2060834453441203e-05,2.290112570335623e-05,,,-0.0004087210400030017,-0.001601200201548636,-9.81815242767334,,0,2025-06-25T01:38:24.444Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.451Z,/ap/twist/filtered,2.058563768514432e-05,-1.4150124115985818e-05,-0.0004376128490548581,
,4.522747258306481e-05,-4.765670746564865e-05,1.1409219951019622e-05,,,-0.0007291989168152213,-0.0011591240763664246,-9.817838668823242,,0,2025-06-25T01:38:24.451Z,/ap/imu/experimental/data,,,,
,4.989497028873302e-05,-2.2052459826227278e-05,1.0603394912322983e-05,,,-0.0012073349207639694,-0.0009978082962334156,-9.817461013793945,,0,2025-06-25T01:38:24.456Z,/ap/imu/experimental/data,,,,
,5.1066319429082796e-05,-8.370924660994206e-06,3.9986742194741964e-05,,,-0.001311065861955285,-0.000748049933463335,-9.81747817993164,,0,2025-06-25T01:38:24.461Z,/ap/imu/experimental/data,,,,
,,,,-0.0,,,,,,0,2025-06-25T01:38:24.475Z,/ap/battery,,,,12.600000381469727
